spotify_top50_2021
artist_name,track_name,popularity
Olivia Rodrigo,drivers license,92
Lil Nas X,MONTERO (Call Me By Your Name),90
The Kid LAROI,STAY (with Justin Bieber),92
Olivia Rodrigo,good 4 u,95
Dua Lipa,Levitating (feat. DaBaby),89
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),90
Doja Cat,Kiss Me More (feat. SZA),88
The Weeknd,Blinding Lights,93
Glass Animals,Heat Waves,94
Måneskin,Beggin',93
Masked Wolf,Astronaut In The Ocean,77
Bad Bunny,DÁKITI,87
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),90
Ed Sheeran,Bad Habits,95
The Weeknd,Save Your Tears,90
BTS,Butter,71
Bruno Mars,Leave The Door Open,86
Olivia Rodrigo,deja vu,90
Rauw Alejandro,Todo De Ti,69
24kGoldn,Mood (feat. iann dior),89
Tiësto,The Business,88
BTS,Dynamite,67
Bad Bunny,Yonaguni,94
Harry Styles,Watermelon Sugar,90
Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,88
Kali Uchis,telepatía,87
The Kid LAROI,WITHOUT YOU,85
Giveon,Heartbreak Anniversary,86
Olivia Rodrigo,traitor,92
Farruko,Pepas,86
Ariana Grande,positions,88
Lewis Capaldi,Someone You Loved,88
Myke Towers,Bandido,82
Måneskin,I WANNA BE YOUR SLAVE,88
Polo G,RAPSTAR,82
Bad Bunny,LA NOCHE DE ANOCHE,87
Doja Cat,Streets,87
The Neighbourhood,Sweater Weather,92
Los Legendarios,Fiel,82
Doja Cat,Need to Know,93
Dua Lipa,Don't Start Now,84
Internet Money,Lemonade (feat. Gunna Don Toliver & NAV),81
Doja Cat,Woman,95
Duncan Laurence,Arcade,78
SZA,Good Days,86
J Balvin,Qué Más Pues?,79
Joel Corry,Head & Heart (feat. MNEK),86
Ariana Grande,34+35,85
Tate McRae,you broke me first,88
Sebastian Yatra,Pareja Del Año,86
