topyoutube
Artist,Total Views
BTS,"27,947.9"
Bad Bunny,"27,573.4"
Justin Bieber,"27,399.7"
Ed Sheeran,"26,894.0"
Taylor Swift,"24,350.0"
Shakira,"23,961.8"
Katy Perry,"23,553.4"
Ozuna,"22,524.8"
Eminem,"20,937.7"
Ariana Grande,"20,618.5"
Daddy Yankee,"20,485.2"
J Balvin,"20,436.9"
Blackpink,"20,082.0"
Maroon 5,"19,430.1"
Rihanna,"18,683.8"
Maluma,"18,479.8"
The Weeknd,"17,668.9"
Bruno Mars,"16,897.5"
Marília Mendonça,"16,515.8"
Enrique Iglesias,"16,395.2"
David Guetta,"15,484.6"
Nicky Jam,"14,982.5"
Coldplay,"14,849.0"
Beyoncé,"14,681.4"
Calvin Harris,"14,270.5"
Luis Fonsi,"14,242.4"
Romeo Santos,"14,113.2"
Marshmello,"14,020.7"
Karol G,"13,981.8"
Imagine Dragons,"13,444.2"
Henrique e Juliano,"13,210.1"
Chris Brown,"13,165.0"
Lady Gaga,"13,156.0"
Gusttavo Lima,"12,899.1"
The Chainsmokers,"12,561.5"
Guru Randhawa,"12,413.4"
Alan Walker,"12,329.8"
Adele,"12,329.6"
Wiz Khalifa,"12,175.3"
Anuel AA,"12,111.8"
Pitbull,"11,989.9"
One Direction,"11,904.4"
Banda MS,"11,847.7"
TWICE,"11,667.0"
Michael Jackson,"11,662.2"
Sia,"11,545.7"
Post Malone,"11,345.7"
Neha Kakkar,"11,283.5"
Gummibär,"11,225.7"
Selena Gomez,"11,062.8"
Linkin Park,"11,044.5"
Shawn Mendes,"10,923.6"
Arijit Singh,"10,850.3"
YoungBoy Never Broke Again,"10,593.7"
Drake,"10,361.2"
Billie Eilish,"10,290.2"
twenty one pilots,"10,147.7"
Zé Neto e Cristiano,"10,133.5"
Los Ángeles Azules,"10,070.7"
PSY,"9,970.6"
Yo Yo Honey Singh,"9,522.4"
Jennifer Lopez,"9,282.3"
Becky G,"9,280.8"
Dua Lipa,"9,258.1"
The Black Eyed Peas,"9,223.4"
Avicii,"9,135.6"
Queen,"9,081.0"
Sebastián Yatra,"9,012.3"
Nicki Minaj,"9,000.9"
Rauw Alejandro,"8,927.2"
Major Lazer,"8,826.7"
XXXTENTACION,"8,823.3"
DJ Snake,"8,530.6"
Charlie Puth,"8,393.3"
Jorge & Mateus,"8,380.3"
Sam Smith,"8,294.6"
Future,"8,146.9"
Farruko,"8,116.8"
Jason Derulo,"8,105.5"
BIGBANG,"8,046.3"
50 Cent,"8,010.8"
Skrillex,"7,946.0"
Martin Garrix,"7,827.2"
Badshah,"7,822.3"
Miley Cyrus,"7,750.1"
Wesley Safadão,"7,529.7"
MattyB,"7,424.6"
Reik,"7,315.1"
Fifth Harmony,"7,313.4"
